column,mean_abs_diff,max_abs_diff,median_pct_diff,p99_pct_diff
affinity_prediction,0.000855926090815266,0.005215815061092144,6.4490902031258496e-06,3.179401059073912e-05
affinity_prediction_high,0.0008876603356824831,0.007624668971402571,1.3224372910328715e-14,5.7364675654514835e-05
affinity_prediction_low,0.001672594107855598,0.011930973687412916,9.06903376028833e-06,6.726403554922356e-05
affinity_prediction_percentile,0.0,0.0,0.0,0.0
pres_with_affinity,0.0012569356975690076,0.006232064377400093,9.673636122167752e-06,7.026281525141103e-05
pres_with_affinity_percentile,0.0,0.0,0.0,0.0
pres_with_presentation_percentile,6.398100744094776e-17,1.7763568394002505e-15,0.0,1.1063297085880059e-13
pres_with_presentation_score,1.8840357408035613e-08,1.6878932457276008e-07,9.296827030315175e-06,5.1157195465321214e-05
pres_with_processing_score,2.2056083823879512e-08,6.332993507385254e-08,3.609134553534807e-06,8.415549260993538e-06
pres_without_affinity,0.0012569356975690076,0.006232064377400093,9.673636122167752e-06,7.026281525141103e-05
pres_without_affinity_percentile,0.0,0.0,0.0,0.0
pres_without_presentation_percentile,1.2749942195496836e-16,1.7763568394002505e-15,0.0,1.7011266438791655e-13
pres_without_presentation_score,1.668495578066763e-08,1.7208790847877964e-07,6.2876170033895e-06,4.9695389639194476e-05
pres_without_processing_score,2.8383164760302833e-10,1.4901161138336505e-08,0.0,1.0314542159027186e-06
processing_with_score,2.2056083823879512e-08,6.332993507385254e-08,3.609134553534807e-06,8.415549260993538e-06
processing_without_score,2.8383164760302833e-10,1.4901161138336505e-08,0.0,1.0314542159027186e-06
